idx,year,first_author,all_authors,title,venue,doi,cited_by,group,topic,相关性评分,匹配关键词,abstract
11,2022,Kassandra Bauerfeind,Kassandra Bauerfeind; Julia Drüke; Lennart Bendewald; Martin Baumann,How does navigating with Augmented Reality information affect drivers’ glance behaviour in terms of attention allocation?,Frontiers in Virtual Reality,10.3389/frvir.2022.930117,15,B_attentional_capture_driving,Human-Automation Interaction and Safety,32.4,"T:augmented reality,A:head-up display,A:navigation,A:driving,T:driver,A:driving simulator",Drivers can benefit from Augmented Reality (AR) information especially in ambiguous navigation situations compared to conventional Head-up displays (HUD). AR information is correctly superimposed on the relevant objects in the environment and therefore directly related to the driving situation. Henc
12,2022,Christine Chauvin,Christine Chauvin; Farida Saïd; Sabine Langlois,Augmented reality HUD vs. conventional HUD to perform a navigation task in a complex driving situation,Research Square,10.21203/rs.3.rs-2049777/v1,4,F_traffic_density_complexity,Human-Automation Interaction and Safety,30.4,"T:augmented reality,A:head-up display,T:navigation,T:driving,A:driver",Abstract This study aims at investigating the added value of an augmented reality head-up display (AR-HUD) in relation to a conventional head-up display (C-HUD) to perform navigation tasks in a complex road situation. The notion of complexity was defined according to two main factors: infrastructure
13,2023,Jieun Lee,Jieun Lee; Na-Hyun Lee; Jangkyu Ju; Jihwan Chae,Visual Complexity of Head-Up Display in Automobiles Modulates Attentional Tunneling,Human Factors The Journal of the Human Factors and Ergonomics Society,10.1177/00187208231181496,16,D_inattentional_blindness_AR,Human-Automation Interaction and Safety,29.5,"T:head-up display,T:attentional tunneling,A:driving,A:driver",OBJECTIVE: To investigate how the visual complexity of head-up displays (HUDs) influence the allocation of driver's attention in two separate visual domains (near and far domains). BACKGROUND: The types and amount of information displayed on automobile HUDs have increased. With limited human attenti
14,2025,Qi Zhu,Qi Zhu; Jordan Li; Y Liu,Visual Saliency Design for AR-HUD Navigation in Extreme Weather: Reducing Inattentional Blindness,IEEE Access,10.1109/access.2025.3588576,4,A_AR_HUD_navigation,Diverse Topics in Contemporary Research,29.4,"T:navigation,A:attentional capture,T:inattentional blindness,A:driver","Background: Current research on AR-HUD visual icons focuses primarily on interface, color, and motion trajectory design. However, when displayed in complex environments, AR-HUD might cause inattentional blindness, particularly during extreme weather conditions where occurrence rates increase signifi"
15,2016,S. Langlois,S. Langlois; Boussaad Soualmi,Augmented reality versus classical HUD to take over from automated driving: An aid to smooth reactions and to anticipate maneuvers,,10.1109/itsc.2016.7795767,78,A_AR_HUD_navigation,Human-Automation Interaction and Safety,28.8,"T:augmented reality,A:navigation,T:driving,A:driver,A:eye tracking","The takeover phase from highly automated systems, when the transition phase is short (here 10s), is critical for the driver when he has been out of the driving loop. We conducted a simulator study on 26 drivers to compare three conditions: manual mode (MD), transition from automated driving (AD) to "
16,2019,Andreas Riegler,Andreas Riegler; Philipp Wintersberger; Andreas Riener; Clemens Holzmann,Augmented Reality Windshield Displays and Their Potential to Enhance User Experience in Automated Driving,i-com,10.1515/icom-2018-0033,39,D_inattentional_blindness_AR+E_transparency_luminance,Human-Automation Interaction and Safety,28.2,"T:augmented reality,A:transparency,T:driving,A:driver,A:in-vehicle","Abstract Increasing vehicle automation presents challenges as drivers of highly automated vehicles become more disengaged from the primary driving task. However, even with fully automated driving, there will still be activities that require interfaces for vehicle-passenger interactions. Windshield d"
17,2021,Xiaomeng Li,Xiaomeng Li; Ronald Schroeter; Andry Rakotonirainy; Jonny Kuo,Get Ready for Take-Overs: Using Head-Up Display for Drivers to Engage in Non–Driving-Related Tasks in Automated Vehicles,Human Factors The Journal of the Human Factors and Ergonomics Society,10.1177/00187208211056200,21,B_attentional_capture_driving+E_transparency_luminance+F_traffic_density_complexity,Human-Automation Interaction and Safety,27.7,"T:head-up display,T:driving,T:driver,A:driving simulator","OBJECTIVE: The study aims to investigate the potential of using HUD (head-up display) as an approach for drivers to engage in non-driving-related tasks (NDRTs) during automated driving, and examine the impacts on driver state and take-over performance in comparison to the traditional mobile phone. B"
18,2023,Christine Chauvin,Christine Chauvin; Farida Saïd; Sabine Langlois,Augmented reality HUD vs. conventional HUD to perform a navigation task in a complex driving situation,Cognition Technology & Work,10.1007/s10111-023-00725-7,15,A_AR_HUD_navigation+F_traffic_density_complexity,Human-Automation Interaction and Safety,27.4,"T:augmented reality,T:navigation,T:driving",
19,2013,Oskar Palinko,Oskar Palinko; Andrew L. Kun; Zachary Cook; Adam Downey,Towards augmented reality navigation using affordable technology,,10.1145/2516540.2516569,19,A_AR_HUD_navigation,Human-Automation Interaction and Safety,26.6,"T:augmented reality,T:navigation,A:driving,A:driver","Augmented reality (AR) navigation systems are likely to improve the driving experience compared to today's personal navigation devices on the dashboard, as they don't require glances away from the road ahead. As technology is not yet capable to deliver an affordable and seamless HUD AR solution, we "
20,2020,Kibum Park,Kibum Park; Youngjae Im,Ergonomic Guidelines of Head-Up Display User Interface during Semi-Automated Driving,Electronics,10.3390/electronics9040611,43,F_traffic_density_complexity,Human-Automation Interaction and Safety,26.3,"A:augmented reality,T:head-up display,T:driving,A:driver","Self-driving vehicles are emerging as a result of technological advances, and the range of human behavior is expanding. The collateral information on driving is increasing, and head-up displays (HUDs) can be coupled with augmented reality displays to convey additional information to drivers in innov"
21,2011,Željko Medenica,Željko Medenica; Andrew L. Kun; Tim Paek; Oskar Palinko,Augmented reality vs. street views,,10.1145/2037373.2037414,125,A_AR_HUD_navigation,Human-Automation Interaction and Safety,26.2,"T:augmented reality,A:navigation,A:driving,A:driver,A:driving simulator","Prior research has shown that when drivers look away from the road to view a personal navigation device (PND), driving performance is affected. To keep visual attention on the road, an augmented reality (AR) PND using a heads-up display could overlay a navigation route. In this paper, we compare the"
22,2019,Matthias Schneider,Matthias Schneider; Anna Bruder; Marc Necker; Tim Schluesener,A real-world driving experiment to collect expert knowledge for the design of AR HUD navigation that covers less,University of Regensburg Publication Server (University of Regensburg),10.18420/muc2019-ws-610,5,A_AR_HUD_navigation,Augmented Reality Applications,25.6,"A:augmented reality,A:head-up display,T:navigation,T:driving",Augmented reality head-up displays (AR HUD) can be seen as a promising advancement of conventional head-up displays in vehicles. Information can be displayed in a contact analogue way in the real world by projecting it onto the vehicle’s windshield. Two major challenges for concept developers are to
23,2021,Brandi Lee Drisdelle,Brandi Lee Drisdelle; Martin Eimer,P<sub>D</sub> components and distractor inhibition in visual search: New evidence for the signal suppression hypothesis,Psychophysiology,10.1111/psyp.13878,50,C_signal_suppression,Neural and Behavioral Psychology Studies,25.4,"A:attentional capture,T:signal suppression,A:distractor suppression",Abstract The hypothesis that salient distractors in visual search are actively suppressed is supported by the fact that these objects elicit P D components believed to be associated with inhibition. This account was challenged by researchers who found that a P D to lateral color singleton distractor
24,2016,Richie Jose,Richie Jose; Gun Lee; Mark Billinghurst,A comparative study of simulated augmented reality displays for vehicle navigation,,10.1145/3010915.3010918,67,A_AR_HUD_navigation,Human-Automation Interaction and Safety,24.7,"T:augmented reality,T:navigation,A:driver","In this paper we report on a user study in a simulated environment that compares three types of Augmented Reality (AR) displays for assisting with car navigation: Heads Up Display (HUD), Head Mounted Display (HMD) and Heads Down Display (HDD). The virtual cues shown on each of the interface were the"
25,2014,Ji Hyun Yang,Ji Hyun Yang; Joseph F. Coughlin,In-vehicle technology for self-driving cars: Advantages and challenges for aging drivers,International Journal of Automotive Technology,10.1007/s12239-014-0034-6,143,F_traffic_density_complexity,Human-Automation Interaction and Safety,24.3,"T:driving,T:driver,T:in-vehicle",
26,2011,Garrett Weinberg,Garrett Weinberg; Bret Harsham; Željko Medenica,Investigating HUDs for the Presentation of Choice Lists in Car Navigation Systems,,10.17077/drivingassessment.1397,10,B_attentional_capture_driving,Human-Automation Interaction and Safety,24.1,"A:head-up display,T:navigation,A:driving,A:driver,A:driving simulator","It has been established that head-down displays (HDDs), such as those commonly placed in the dashboard of commercial automobiles, can draw drivers’ attention away from the primary driving task (Bach et al., 2008). This problem can be exacerbated when screens are “busy” with graphics or rich informat"
27,2017,Shu Wang,Shu Wang; Vassilis Charissis; David K. Harisson,Augmented Reality Prototype HUD for Passenger Infotainment in a Vehicular Environment,Advances in Science Technology and Engineering Systems Journal,10.25046/aj020381,25,B_attentional_capture_driving,Human-Automation Interaction and Safety,23.8,"T:augmented reality,A:head-up display,A:navigation,A:driver","The paper presents a prototype Head Up Display interface which acts as an interactive infotainment system for rear seat younger passengers, aiming to minimize driver distraction. The interface employs an Augmented Reality medium that utilizes the external scenery as a background for two platform gam"
28,2024,Jue Li,Jue Li; Jiawen Liu; Xiaoshan Wang; Long Liu,The Impact of Transparency on Driver Trust and Reliance in Highly Automated Driving: Presenting Appropriate Transparency in Automotive HMI,Applied Sciences,10.3390/app14083203,14,E_transparency_luminance,Human-Automation Interaction and Safety,22.4,"T:transparency,T:driving,T:driver","Automation transparency offers a promising way for users to understand the uncertainty of automated driving systems (ADS) and to calibrate their trust in them. However, not all levels of information may be necessary to achieve transparency. In this study, we conceptualized the transparency of the au"
29,2012,Benjamin J. Dixon,Benjamin J. Dixon; Michael J. Daly; Harley Chan; Allan Vescan,Surgeons blinded by enhanced navigation: the effect of augmented reality on attention,Surgical Endoscopy,10.1007/s00464-012-2457-3,140,D_inattentional_blindness_AR,Augmented Reality Applications,22.3,"T:augmented reality,T:navigation",
30,2019,Fabio Müller,Fabio Müller; Simon Roner; Florentin Liebmann; José Miguel Spirig,Augmented reality navigation for spinal pedicle screw instrumentation using intraoperative 3D imaging,The Spine Journal,10.1016/j.spinee.2019.10.012,137,A_AR_HUD_navigation,Augmented Reality Applications,22.3,"T:augmented reality,T:navigation",
31,2008,Marcus Tönnis,Marcus Tönnis,Towards Automotive Augmented Reality,mediaTUM – the media and publications repository of the Technical University Munich (Technical University Munich),,12,F_traffic_density_complexity,Human-Automation Interaction and Safety,22.2,"T:augmented reality,A:driving,A:driver,A:collision warning,A:driving simulator","Projection of virtual presentation schemes into the reality via Augmented Reality (AR) has the potential to equip novel driver assistance systems with more intuitive user interfaces. Information presentation through AR reduces the number of glances towards in-car displays, thus enabling higher degre"
32,2016,Liang Li,Liang Li; Jian Yang; Yakui Chu; Wenbo Wu,A Novel Augmented Reality Navigation System for Endoscopic Sinus and Skull Base Surgery: A Feasibility Study,PLoS ONE,10.1371/journal.pone.0146996,122,A_AR_HUD_navigation,Sinusitis and nasal conditions,22.2,"T:augmented reality,T:navigation",OBJECTIVE: To verify the reliability and clinical feasibility of a self-developed navigation system based on an augmented reality technique for endoscopic sinus and skull base surgery. MATERIALS AND METHODS: In this study we performed a head phantom and cadaver experiment to determine the display ef
33,2010,Aw Guo,Aw Guo; Jenny Brake; Simon Edwards; PT Blythe,The application of in-vehicle systems for elderly drivers,European Transport Research Review,10.1007/s12544-010-0037-y,31,E_transparency_luminance,Older Adults Driving Studies,22.0,"A:driving,T:driver,T:in-vehicle,A:driving simulator","In response to the rapidly ageing global population, the purpose of this paper is to identify the problems of elderly drivers and their relation to emerging in-vehicle technologies. The method is three fold. Firstly, it reviews factors involved in the functional decline of elderly drivers. Secondly,"
34,2019,Lee Lisle,Lee Lisle; Coleman Merenda; Kyle Tanous; Hyungil Kim,Effects of Volumetric Augmented Reality Displays on Human Depth Judgments,International Journal of Mobile Human Computer Interaction,10.4018/ijmhci.2019040101,8,F_traffic_density_complexity,Virtual Reality Applications and Impacts,21.9,"T:augmented reality,A:head-up display,A:driving,A:driver","Many driving scenarios involve correctly perceiving road elements in depth and manually responding as appropriate. Of late, augmented reality (AR) head-up displays (HUDs) have been explored to assist drivers in identifying road elements, by using a myriad of AR interface designs that include world-f"
35,2009,Joshua D. Cosman,Joshua D. Cosman; Shaun P. Vecera,Perceptual load modulates attentional capture by abrupt onsets,Psychonomic Bulletin & Review,10.3758/pbr.16.2.404,50,B_attentional_capture_driving,Neural and Behavioral Psychology Studies,21.4,"T:attentional capture,T:abrupt onset",
36,2013,Cristy Ho,Cristy Ho; Charles Spence; Rob Gray,Looming Auditory and Vibrotactile Collision Warning for Safe Driving,,10.17077/drivingassessment.1540,15,B_attentional_capture_driving,Safety Warnings and Signage,21.4,"T:driving,A:driver,T:collision warning","Looming auditory warning signals (that is, signals whose intensity increases over time) have proven to be particularly effective in terms of reducing a driver’s brake reaction times (BRTs) to impending collisions, and are also associated with very low false alarm rates. We report two experiments des"
37,2021,Andreas Riegler,Andreas Riegler; Andreas Riener; Clemens Holzmann,Augmented Reality for Future Mobility: Insights from a Literature Review and HCI Workshop,i-com,10.1515/icom-2021-0029,37,E_transparency_luminance,Human-Automation Interaction and Safety,21.2,"T:augmented reality,A:navigation,A:driving,A:driver","Abstract There is a growing body of research in the field of interaction between drivers/passengers and automated vehicles using augmented reality (AR) technology. Furthering the advancements and availability of AR, the number of use cases in and around vehicles rises. Our literature review reveals "
38,2024,Michael A. Gerber,Michael A. Gerber; Ronald Schroeter; Daniel Johnson; Christian P. Janssen,An Eye Gaze Heatmap Analysis of Uncertainty Head-Up Display Designs for Conditional Automated Driving,,10.1145/3613904.3642219,9,E_transparency_luminance,Human-Automation Interaction and Safety,21.0,"T:head-up display,T:driving,A:driver,A:driving simulator",This paper reports results from a high-fidelity driving simulator study (N=215) about a head-up display (HUD) that conveys a conditional automated vehicle’s dynamic “uncertainty” about the current situation while fallback drivers watch entertaining videos. We compared (between-group) three design in
39,2019,Matthias Schneider,Matthias Schneider; Anna Bruder; Marc Necker; Tim Schluesener,A field study to collect expert knowledge for the development of AR HUD navigation concepts,,10.1145/3349263.3351339,19,A_AR_HUD_navigation,Augmented Reality Applications,20.6,"A:augmented reality,A:head-up display,T:navigation","A promising advancement of conventional head-up displays in vehicles is the implementation of augmented reality. By projecting the content onto the vehicle's windshield, information can be displayed in a contact analogue way in the real world. Two major challenges for concept developers are to reduc"
40,2015,Javier Gómez,Javier Gómez; Germán Montoro; Juan C. Torrado; Adalberto Plaza,An Adapted Wayfinding System for Pedestrians with Cognitive Disabilities,Mobile Information Systems,10.1155/2015/520572,18,A_AR_HUD_navigation,Spatial Cognition and Navigation,20.6,"A:navigation,T:wayfinding,T:pedestrian","This paper presents a novel wayfinding system adapted to people with cognitive disabilities. It adapts to the user in terms of route calculation, instructions delivery, and interface design. To do so, the system divides the calculated route into atomic instructions and uses street-level photographs "
41,2008,M. Fortin,M. Fortin; Patrice Voss; Catherine Lord; Maryse Lassonde,Wayfinding in the blind: larger hippocampal volume and supranormal spatial navigation,Brain,10.1093/brain/awn250,162,A_AR_HUD_navigation,Tactile and Sensory Interactions,20.4,"T:navigation,T:wayfinding","In the absence of visual input, the question arises as to how complex spatial abilities develop and how the brain adapts to the absence of this modality. We explored navigational skills in both early and late blind individuals and structural differences in the hippocampus, a brain region well known "
42,2021,Bei Zhang,Bei Zhang; Ralph Weidner; Fredrik Allenmark; Sabine Bertleff,Statistical Learning of Frequent Distractor Locations in Visual Search Involves Regional Signal Suppression in Early Visual Cortex,Cerebral Cortex,10.1093/cercor/bhab377,46,C_signal_suppression,Visual perception and processing mechanisms,20.3,"T:signal suppression,A:distractor suppression",Observers can learn locations where salient distractors appear frequently to reduce potential interference-an effect attributed to better suppression of distractors at frequent locations. But how distractor suppression is implemented in the visual cortex and within the frontoparietal attention netwo
43,2016,Mengyuan Gong,Mengyuan Gong; Feitong Yang; Sheng Li,Reward association facilitates distractor suppression in human visual search,European Journal of Neuroscience,10.1111/ejn.13174,38,C_signal_suppression,Neural and Behavioral Psychology Studies,20.2,"A:attentional capture,T:distractor suppression","Although valuable objects are attractive in nature, people often encounter situations where they would prefer to avoid such distraction while focusing on the task goal. Contrary to the typical effect of attentional capture by a reward-associated item, we provide evidence for a facilitation effect de"
44,2021,Kassandra Bauerfeind,Kassandra Bauerfeind; Julia Drüke; Jens Schneider; Adrian Haar,Navigating with Augmented Reality – How does it affect drivers’ mental load?,Applied Ergonomics,10.1016/j.apergo.2021.103398,33,A_AR_HUD_navigation,Human-Automation Interaction and Safety,20.1,"T:augmented reality,T:driver",
45,2020,Jayakanth Kunhoth,Jayakanth Kunhoth; AbdelGhani Karkar; Somaya Al-Máadeed; Abdulla Al‐Ali,Indoor positioning and wayfinding systems: a survey,Human-centric Computing and Information Sciences,10.1186/s13673-020-00222-0,258,A_AR_HUD_navigation,Indoor and Outdoor Localization Technologies,19.8,"A:navigation,T:wayfinding,A:pedestrian","Abstract Navigation systems help users access unfamiliar environments. Current technological advancements enable users to encapsulate these systems in handheld devices, which effectively increases the popularity of navigation systems and the number of users. In indoor environments, lack of Global Po"
46,2025,Qi Zhu,Qi Zhu; Z. Liu; Youlan Li; Euitay Jung,Effects of Multimodal AR-HUD Navigation Prompt Mode and Timing on Driving Behavior,Journal of Eye Movement Research,10.3390/jemr18060063,1,A_AR_HUD_navigation+D_inattentional_blindness_AR+E_transparency_luminance+F_traffic_density_complexity,Human-Automation Interaction and Safety,19.6,"T:navigation,T:driving,A:driver","Current research on multimodal AR-HUD navigation systems primarily focuses on the presentation forms of auditory and visual information, yet the effects of synchrony between auditory and visual prompts as well as prompt timing on driving behavior and attention mechanisms remain insufficiently explor"
47,2020,Khan Muhammad,Khan Muhammad; Amin Ullah; Jaime Lloret; Javier Del Ser,Deep Learning for Safe Autonomous Driving: Current Challenges and Future Directions,IEEE Transactions on Intelligent Transportation Systems,10.1109/tits.2020.3032227,622,D_inattentional_blindness_AR+F_traffic_density_complexity,Autonomous Vehicle Technology and Safety,19.6,"T:driving,A:driver,A:pedestrian","Advances in information and signal processing technologies have a significant impact on autonomous driving (AD), improving driving safety while minimizing the efforts of human drivers with the help of advanced artificial intelligence (AI) techniques. Recently, deep learning (DL) approaches have solv"
48,2016,Zhenji Lu,Zhenji Lu; Xander Coster; Joost de Winter,How much time do drivers need to obtain situation awareness? A laboratory-based study of automated driving,Applied Ergonomics,10.1016/j.apergo.2016.12.003,183,F_traffic_density_complexity,Human-Automation Interaction and Safety,19.5,"T:driving,T:driver",
49,2011,Mónika Kiss,Mónika Kiss; Anna Grubert; Anders Petersen; Martin Eimer,Attentional Capture by Salient Distractors during Visual Search Is Determined by Temporal Task Demands,Journal of Cognitive Neuroscience,10.1162/jocn_a_00127,172,C_signal_suppression,Neural and Behavioral Psychology Studies,19.5,"T:attentional capture,A:salience","The question whether attentional capture by salient but task-irrelevant visual stimuli is triggered in a bottom-up fashion or depends on top-down task settings is still unresolved. Strong support for bottom-up capture was obtained in the additional singleton task, in which search arrays were visible"
50,2020,Na Du,Na Du; Feng Zhou; Elizabeth Pulver; Dawn M. Tilbury,Predicting driver takeover performance in conditionally automated driving,Accident Analysis & Prevention,10.1016/j.aap.2020.105748,138,F_traffic_density_complexity,Human-Automation Interaction and Safety,19.3,"T:driving,T:driver",
51,2019,Debargha Dey,Debargha Dey; Marieke Martens; Berry Eggen; Jacques Terken,"Pedestrian road-crossing willingness as a function of vehicle automation, external appearance, and driving behaviour",Transportation Research Part F Traffic Psychology and Behaviour,10.1016/j.trf.2019.07.027,110,B_attentional_capture_driving,Color perception and design,19.1,"T:driving,T:pedestrian",
52,2015,Andrew J. Tatham,Andrew J. Tatham; Erwin R. Boer; Carolina P. B. Gracitelli; Peter Rosen,"Relationship Between Motor Vehicle Collisions and Results of Perimetry, Useful Field of View, and Driving Simulation in Drivers With Glaucoma",Translational Vision Science & Technology,10.1167/tvst.4.3.5,28,E_transparency_luminance,Older Adults Driving Studies,18.9,"T:driving,T:driver,A:driving simulator","PURPOSE: To examine the relationship between Motor Vehicle Collisions (MVCs) in drivers with glaucoma and standard automated perimetry (SAP), Useful Field of View (UFOV), and driving simulator assessment of divided attention. METHODS: A cross-sectional study of 153 drivers from the Diagnostic Innova"
53,2015,Georgios K. Kountouriotis,Georgios K. Kountouriotis; Richard M. Wilkie; Peter Gardner; Natasha Merat,Looking and thinking when driving: The impact of gaze and cognitive load on steering,Transportation Research Part F Traffic Psychology and Behaviour,10.1016/j.trf.2015.07.012,26,B_attentional_capture_driving,Human-Automation Interaction and Safety,18.9,"T:driving,A:in-vehicle,T:cognitive load","Driving around bends at high speeds is a task performed by many on a daily basis but the underlying mechanisms of steering control remain largely unknown. Previous research has shown that when steering, gaze direction can be a critical component of success. However, with increased use of in-vehicle "
54,2018,Sheng-Shih Wang,Sheng-Shih Wang,A BLE-Based Pedestrian Navigation System for Car Searching in Indoor Parking Garages,Sensors,10.3390/s18051442,24,A_AR_HUD_navigation,Smart Parking Systems Research,18.8,"T:navigation,T:pedestrian","The continuous global increase in the number of cars has led to an increase in parking issues, particularly with respect to the search for available parking spaces and finding cars. In this paper, we propose a navigation system for car owners to find their cars in indoor parking garages. The propose"
55,2009,Kenneth Majlund Bach,Kenneth Majlund Bach; Mads Gregers Jæger; Mikael B. Skov; Nils Gram Thomassen,"Interacting with In-Vehicle Systems: Understanding, Measuring, and Evaluating Attention",Electronic workshops in computing,10.14236/ewic/hci2009.57,22,B_attentional_capture_driving+D_inattentional_blindness_AR,Human-Automation Interaction and Safety,18.7,"A:driving,A:driver,T:in-vehicle,A:driving simulator","In-vehicle systems research is becoming a significant field as the market for in-vehicle systems continue to grow. As a consequence, researchers are increasingly concerned with opportunities and limitations of HCI in a moving vehicle. Especially aspects of attention constitute a challenge for in-veh"
56,2020,Dirk Kerzel,Dirk Kerzel; Nicolas Burra,"Capture by Context Elements, Not Attentional Suppression of Distractors, Explains the PD with Small Search Displays",Journal of Cognitive Neuroscience,10.1162/jocn_a_01535,63,C_signal_suppression,Neural and Behavioral Psychology Studies,18.6,"A:attentional capture,T:attentional suppression","Abstract Top–down control of attention allows us to resist attentional capture by salient stimuli that are irrelevant to our current goals. Recently, it was proposed that attentional suppression of salient distractors contributes to top–down control by biasing attention away from the distractor. Wit"
