序号	文献	场景	色彩显示	位置	形状	动静态	预警信息出现时间	预警信息持续时间	预警信息是否有分级	实验任务	自变量	因变量	结果	作者	团队/单位	发表年份	期刊/来源	JCR分区	★资料来源	★证据强度	★APA引注	★APA条目	★所属实验
26	Employing Emerging Technologies to Develop and Evaluate In-Vehicle Intelligent Systems for Driver Su	苏格兰格拉斯哥（Glasgow）周边高速公路网络 M8/M73/M80 三角形 28 英里数字孪生模型（digital twin city）；典型工作日中午（midday weekday）车流密度；后端追尾事故场景（rear collision），由 AI 控制的领头车辆（lead vehicle）执行突然制动（abrupt braking）形成 high-propensity collision；车速接近英国高速限速 70 mph（~112 km/h）。	未给出 RGB 规格；Text Message 数量徽标为红色（superscript red circle/sphere）；symbol 四态视觉确认采用不同颜色编码（Idle / Decline-warning / Hover / Selected）。	AR HUD 投影于挡风玻璃下部（lower section of windscreen），与仪表板相邻；AR 符号显示距离 ~2.5 m 前方（at bonnet level）以避免双焦点调节（double accommodation）；HDD 比较位置为仪表簇上方触摸屏（位置 'C'，距驾驶员眼部 720–880 mm）；HUD 位置 'F'（驾驶员 FOV 中前方）被证明为最佳，其次为 'C'；Leap Motion 手势传感器置于仪表板顶部（距驾驶员头部 ~500–650 mm），位于方向盘后方；遵循 SAE J2831 推荐位置规范。	三主符号：(a) Home, (b) Text Message（带右上角红色数字徽标显示未读消息数）, (c) Map/Navigation；导航子符号：左右箭头 + 红色圆形（未读消息计数）；设计强调极简 minimalistic、self-explanatory。	Interrupt strategy（中断策略）：在高速行驶或密集城市环境中暂存（withhold/archive）来电与消息，仅在'安全时机'释放；恶劣天气延长暂存时间；手势 'air-clicking' 触发四态视觉反馈（Idle→Hover→Selected 或 Decline）；AR HUD 渲染保持 ≥ 90 FPS 以避免眩晕；每次试验中驾驶员收到 4 条消息（2 条导航 + 2 条短信），间隔随机。	未基于固定 TTC 触发；事故触发由 AI 领头车辆突然制动产生，且与驾驶员收到第 4 条消息几乎同时发生（图 16 grey section 约 simulation 第 5–11 s 区间）；驾驶员需在 < 5 s 内对 200 m 距离缩减做出反应。	infotainment 消息持续直至驾驶员通过手势交互完成；具体显示时长未量化；模拟数据以 0.03 s 为间隔记录（约 33 Hz）。	按位置区分信息重要性：中部窗格用于关键警告（如碰撞警告），上下部边缘用于辅助信息（infotainment）；本研究仅涉及辅助信息（infotainment），无紧急度分级。	城市高速公路驾驶任务（用户邀友前往爱丁堡附近聚会场景），驾驶员需接收并阅读 4 条来信（2 条导航 + 2 条短信）以指引到达目的地；在最后阶段领头 AI 车辆突然制动，要求驾驶员快速反应避免追尾。	(1) 显示方式：AR HUD（gesture + AR symbols at 2.5 m, position F）vs. HDD（dashboard touchscreen, position C）；试验顺序对每用户随机化。	(1) 碰撞次数（collisions per trial）；(2) 碰撞概率（95% CI）；(3) 驾驶员响应时间（RT）；(4) 车头时距（HW headway）；(5) 速度（km/h）；(6) 车道位置；(7) 与前车/相邻车距离（0.03 s 采样）；(8) 主观可用性（pre/post 问卷 + 自定义 TAM + ease-of-use 评级 + 调试访谈）；未使用 eye-tracking（因 AR 投影位于 2.5 m 远导致双层焦点问题与 HMD 不适）。	HDD 条件碰撞概率 87%（95% CI 0.74–1.00，30 人中 26 人发生碰撞，总 127 次碰撞）；AR HUD 条件碰撞概率 23%（95% CI 0.07–0.39，7 人发生碰撞，共 15 次碰撞），碰撞减少 64%（绝对值）。6.5% 用户两条件均无碰撞但反馈 HUD 操作更轻松；3%（1 人）HUD 表现更差（座位姿势超出 Leap Motion 感测区）。代表用户在 HUD 条件下能提前阅读导航预警并平滑减速至 11.5 s 完全停车；HDD 条件下因无法及时阅读警告而以 72 km/h 撞上静止前车。97% 用户认为 HUD 驾驶更不紧张；80% 认为 HUD 极易/非常易于上手。	Vassilis Charissis, Jannat Falah, Ramesh Lagoo	Vassilis Charissis	2021	Applied Sciences (MDPI) 2021	Q2 (IF 2.5) (MDPI)	全文	强	(Charissis et al., 2021)	Charissis, V., Falah, J., Lagoo, R., Alfalah, S. F. M., Khan, S., Wang, S., Altarteer, S., Larbi, K. B., & Drikakis, D. (2021). Employing Emerging Technologies to Develop and Evaluate In-Vehicle Intelligent Systems for Driver Support: Infotainment AR HUD Case Study. *Applied Sciences*, *11*(4), 1397. https://doi.org/10.3390/app11041397	背景（技术/综述，未直接引用）
27	Does Augmented-Reality Head-Up Display Help? A Preliminary Study on Driving Performance Through a VR	VR 驾驶模拟器中评估 AR-HUD 布局对驾驶表现的影响（abstract 未指明具体行人事件，侧重 AR-HUD 整体布局比较）	未报告	两种 AR-HUD 布局：dispersed layout（分散布局，AR-HUD1）vs. dense layout（密集布局，AR-HUD2）	未报告（侧重整体布局而非单个图形）	未报告	未报告	未报告	无分级（三组对比：无 AR-HUD / AR-HUD1 / AR-HUD2）	VR 驾驶模拟器中的驾驶任务（三条件：无 AR-HUD / 分散布局 / 密集布局）	AR-HUD 布局（无 / dispersed / dense）	多维驾驶表现指标 + 眼动（cognitive resource allocation）	符合 HCI 与视觉设计规则的 AR-HUD 可改善认知资源分配、提升安全；糟糕设计的 AR-HUD 反而对安全产生负面影响——布局对认知负荷影响显著	Xiangdong Ma, Mengting Jia, Zhicong Hong	Xiangdong Ma	2021	IEEE Access 2021	Q2 (IF 4.2)	全文	强	(Ma et al., 2021)	Ma, X., Jia, M., Hong, Z., Kwok, A. P. K., & Yan, M. (2021). Does Augmented-Reality Head-Up Display Help? A Preliminary Study on Driving Performance Through a VR-Simulated Eye Movement Analysis. *IEEE Access*, *9*, 129951–129964. https://doi.org/10.1109/access.2021.3112240	实验1
28	A Novel Active Heads-Up Display for Driver Assistance	实车测试床（vehicular test bed）实际道路（actual roadways）超速合规（speed compliance）驾驶辅助场景	未报告（laser-based windshield 投射，abstract 未明确颜色）	广域风挡 HUD（laser-based wide-area windshield HUD）；按驾驶员/车辆/环境状态主动决定呈现位置，以最小化视线偏移与视觉杂乱（'minimizes the deviation of gaze direction without adding to unnecessary visual clutter'）	安全关键视觉图标（safety-critical visual icons）	动态主动呈现 Dynamic Active Display（DAD）——仅在必要时显示	按需触发（基于驾驶员状态/姿态、车辆与环境实时判断），具体阈值未报告	未报告（仅在必要时显示）	三种不同显示协议（display protocols）+ 与传统 dashboard 对比；并非按紧急程度的层级分级	实际道路超速合规辅助任务（speed limit compliance）	显示协议类型（3 种 DAD 协议 vs. 传统 dashboard 显示）	减速至限速所需时间；视线偏离路面时间（time spent looking away from the road）	接受超速预警的驾驶员减速至限速所需时间减少 38%（p<0.01）；某些预警将视线偏离路面时间降低 63%（p<0.01）	Anup Doshi, Shinko Y. Cheng, Mohan M. Trivedi	Anup Doshi	2008	IEEE TSMC-B 2008	Q1 (历史) (IF -) / CCF B (现为 IEEE TCYB)	全文	强	(Doshi et al., 2009)	Doshi, A., Cheng, S. Y., & Trivedi, M. M. (2009). A Novel Active Heads-Up Display for Driver Assistance. *IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics)*, *39*(1), 85–93. https://doi.org/10.1109/tsmcb.2008.923527	实验1、实验4
29	Machine learning-based cognitive load prediction model for AR-HUD to improve OSH of professional dri	城市道路驾驶（良好天气、中等交通），Unity3D 360° 沉浸式模拟器 + AR-HUD 头盔 + Tobii Pro 眼动；6 类警示任务	4 种主色 (GM)：蓝 #2979FF / 红 #FE0000 / 绿 #4ADE80 / 橙 #F26D21；4 种字体 GF	AR-HUD 位于挡风玻璃左下方（驾驶员中央视区）；6 区布局 A–F；视场角随车速分级（<75km/h 85°、75–100km/h <65°、>100km/h 40°）	数字+图标+文字组合；4 种边框 GL；A–F 矩形分区	动态：随机呈现 AR-HUD 视觉方案，连续眼动采集	未明确（属随机刺激方案；眼动以 30 秒间隔提取）	单场景 60 秒；任务间休息 10 分钟；总 6 任务/人	6 类警示（行人/前向碰撞/侧向碰撞/驾驶员异常/限速/车道偏离），未明确分级强度	AR-HUD 不同视觉方案下完成 50km/h 模拟驾驶（与前车 ≥50m），定位并报出 AR-HUD 信息；填写 NASA-TLX；CH 量表对比 IVPM-GA vs BP-GA	AR-HUD 视觉编码（GM 主色 + GL 布局 + GF 字体 + 6 模块组合，26 位二进制染色体）；优化算法（IVPM-GA vs BP-GA）	NASA-TLX；眼动 (Gaze/Glance/Reaction)；CH 量表；IVPM 性能 (CC=0.715, KL=0.313)	IVPM-GA 40 代收敛 vs BP-GA 212 代；CH 量表 11/15 (73.3%) 偏好 IVPM-GA；80% 认为更舒适更少分心；眼动指标布局间显著差异 (p<0.05)	Jian Teng, Fucheng Wan, Yiquan Kong	Jian Teng	2023	Frontiers Public Health 2023	Q2 (IF 3.5) (Frontiers)	全文	强	(Teng et al., 2023)	Teng, J., Wan, F., Kong, Y., & Kim, J. K. (2023). Machine learning-based cognitive load prediction model for AR-HUD to improve OSH of professional drivers. *Frontiers in Public Health*, *11*, 1195961. https://doi.org/10.3389/fpubh.2023.1195961	背景（时间专题）
30	Adaptive Visual Assistance System for Enhancing the Driver Awareness of Pedestrians	驾驶模拟器中含行人的危急场景；自适应（adaptive）系统仅在检测到驾驶员未察觉（unawareness）时触发预警	未报告	AR-HUD 上的视觉隐喻（visual metaphor），具体位置参数未在 abstract 中报告	AR 视觉隐喻（warning visual metaphor），用于动态引导驾驶员注意力指向行人	动态（自适应按需呈现，引导注意力到行人位置）	自适应触发：基于车辆驾驶信号（vehicle driving signals）统计建模检测到'未察觉'行为时呈现，而非固定 TTC/距离阈值（具体数值未报告）	未报告（按需呈现，直至引导注意力到行人）	无分级（按需触发 vs. 不触发）	驾驶模拟器中遭遇行人危急场景的驾驶任务	是否启用自适应 AR 视觉辅助（基于 unawareness 检测的按需触发 vs. 基线）	驾驶员对行人的 awareness（含 awareness 提升与误警减少效应）	所提出的自适应 AR 视觉辅助在危急场景下显著提升对行人的感知；按需触发可降低不必要预警与告警疲劳	Vincent Frémont, Minh-Tien Phan, Indira Thouvenin	Vincent Frémont	2019	IJHCI 2019	Q1 (IF 4.9) (HCI 重要期刊)	全文	强	(Frémont et al., 2019)	Frémont, V., Phan, M. T., & Thouvenin, I. (2019). Adaptive Visual Assistance System for Enhancing the Driver Awareness of Pedestrians. *International Journal of Human–Computer Interaction*, *36*(9), 856–869. https://doi.org/10.1080/10447318.2019.1698220	实验1、实验3
31	Augmented Reality for Vehicle-Driver Communication: A Systematic Review	N/A 综述（2012–2022 年 ADS 配备车辆中 AR 用于车-驾驶员沟通的系统综述，含 object detection 与 intended maneuver/route 两大类）	N/A 综述	N/A 综述（综述中归纳：研究多在 windshield 风挡呈现；screen-fixed vs. world-fixed 箭头研究结果不一）	N/A 综述（object detection 常见视觉：bounding shapes、highlighting、symbols；intended route：arrows）	N/A 综述（world-fixed vs. screen-fixed 箭头研究结果不一）	N/A 综述	N/A 综述	N/A 综述	N/A 综述（系统综述方法）	N/A 综述	N/A 综述（汇总维度：acceptance、trust、user experience、driving behavior、eye-tracking）	L2 ADS、风挡呈现为主流；object detection 多用 bounding shapes/highlighting/symbols；intended route 箭头形态结果不一；'清晰且相关'是 AR-HUD 视觉的金线；研究空白：长期效应、低能见度、上下文用户需求、系统可靠性、包容性设计	Liam Kettle, Yi‐Ching Lee	Liam Kettle	2022	Safety (MDPI) 2022	未收录JCR (新刊) (IF 2.4) (MDPI 新刊)	全文	强	(Kettle & Lee, 2022)	Kettle, L., & Lee, Y. C. (2022). Augmented Reality for Vehicle-Driver Communication: A Systematic Review. *Safety*, *8*(4), 84. https://doi.org/10.3390/safety8040084	背景（技术/综述，未直接引用）
32	Automotive Holographic Head‐Up Displays	N/A 综述（全息 HUD 的光电器件与用户体验综述，含 3D 深度对齐与个性化）	N/A 综述（讨论全息显示色彩、深度感与个性化 eye-box）	N/A 综述（讨论 windshield HUD 与个性化 eye-box、信息嵌入路面深度对齐）	N/A 综述（讨论 3D 全息 AR 与具备深度感的渲染）	N/A 综述	N/A 综述	N/A 综述	N/A 综述	N/A 综述（技术综述）	N/A 综述	N/A 综述	全息 HUD 可实现具备深度感的真正 3D AR；个性化 eye-box 与 ML 自适应是关键方向；总结道路安全应用与自动驾驶趋势——是 AR-HUD 演进的'终局形态'	Jana Skirnewskaja, Timothy D. Wilkinson	Jana Skirnewskaja	2022	Advanced Materials 2022	Q1 (IF 29.1) (Wiley 顶刊)	全文	强	(Skirnewskaja & Wilkinson, 2022)	Skirnewskaja, J., & Wilkinson, T. D. (2022). Automotive Holographic Head‐Up Displays. *Advanced Materials*, *34*(19), 2110463. https://doi.org/10.1002/adma.202110463	背景（技术/综述，未直接引用）
33	Usability Evaluation of in-Vehicle AR-HUD Interface Applying AHP-GRA	车载 AR-HUD 界面可用性评价（原型案例研究，日常城市驾驶信息显示背景）	由田口 L18(3^7) 正交表 7 个设计参数（A–G）控制速度颜色、导航颜色等 3 水平；具体 RGB 未列	AR-HUD 原型界面（具体物理位置未在评估中变化）	L18 正交表 18 个静态界面样本	静态界面（原型评估）	N/A（无预警时序设计）	N/A	N/A（侧重可用性维度）	对 18 个 AR-HUD 界面样本按 7 级 Likert 评分 13 个可用性指标	AR-HUD 设计参数（A–G 共 7 因素 × 3 水平的正交组合）	13 个可用性指标得分（PSSUQ 修订）；AHP-GRA 灰色关联度	C.R.=0.077 通过一致性；Cronbach α = 0.928；最优样本 S5 灰色关联度 0.923；最差 S14 (0.477)；A1 可读性相关 0.891（最显著正相关）；B2 视觉干扰 -0.865（最显著负相关）；与 entropy-TOPSIS 选最优样本一致	Yunuo Cheng, Zhong Xia, Min Ye	Yunuo Cheng	2022	HCIS (Springer) 2022	未收录JCR (新刊) (IF -) (Springer 新刊 (2021年创刊))	全文	强	(Cheng et al., 2022)	Cheng, Y., Zhong, X., Ye, M., & Tian, L. (2022). Usability Evaluation of in-Vehicle AR-HUD Interface Applying AHP-GRA. *Human-Centric Intelligent Systems*, *2*(3-4), 124–137. https://doi.org/10.1007/s44230-022-00011-1	背景（时间专题）
34	Color Visibility Evaluation of In-Vehicle AR-HUD Under Different Illuminance	实车 AR-HUD（FOV 12°×5°）搭载于智能车样车，大型曲面投影屏模拟驾驶环境；分日间与夜间两种照度	7 色：红 R / 黄红 YR / 黄 Y / 绿 G / 蓝 B / 紫 P / 白 W；3 种描边：白 / 灰 / 无（共 19 个刺激）	AR-HUD 位于驾驶员前方中央（FOV 12° 水平 × 5° 垂直）	字符+图标，字符尺寸 242 × 142 mm	静态显示（评估颜色可见性）	N/A（颜色可见性研究）	刺激显示 10 秒/次（达到上限驾驶自动停止）；总实验 ≈15 分钟/人	无分级	在两种照度（日间 100,000 lx / 夜间 30 lx，符合 CIES 主干道标准）下识别 19 种颜色+描边组合的 AR-HUD 字符；填 5 点 Likert 可见性评分	颜色 (7) × 描边 (3) × 照度 (2)	Likert 5 点可见性评分；颜色亮度 Lv (cd/m²) 与色坐标 (x, y)	白天: Y(4.12)>G(3.92)>R(3.08)>YR(2.84)>B=P(1.16)；夜间: R(3.88)>Y(3.80)>G(3.56)>YR(2.84)>B(1.68)>P(1.40)；描边规律：白天除 Y 外白描边 > 灰描边；夜间除 G 外亦如此	Xia Zhong, Yunuo Cheng, Liwei Tian	Xia Zhong	2022	EAI ICIDC 2022	会议论文集 (IF -) (EAI ICIDC 2022 会议)	全文	强	(Zhong et al., 2022)	Zhong, X., Cheng, Y., & Tian, L. (2022). Color Visibility Evaluation of In-Vehicle AR-HUD Under Different Illuminance. In *Proceedings of the International Conference on Information Economy, Data Modeling and Cloud Computing, ICIDC 2022, 17-19 June 2022, Qingdao, China*. EAI. https://doi.org/10.4108/eai.17-6-2022.2322686	实验4
35	Interface Design of Automobile Head-up Display from the Perspective of Human-Machine Interaction	N/A 综述（车载 HUD 人机交互界面设计综述）	综述：高饱和度色、HSV 自适应、蓝绿黄高效、红底+黄绿前景搜索最佳	综述：屏幕承载 vs 环境承载（AR-HUD 路面投影）	综述：基本驾驶/导航/安全辅助/娱乐 4 类信息，含 ADAS 子项	综述：动静态指示设计原则	N/A 综述	N/A 综述	综述：信息分层（Beck 四特征 + Li/Zeng 模型）	N/A 综述	N/A 综述	N/A 综述	综述提出 7 条 HUD 设计原则；3 大未来方向：沉浸式服务、多感官通道、高保真仿真平台	Lening Guan	Lening Guan	2024	EAI ADDT 2024	会议 (IF -) (EAI ADDT 会议)	全文	强	(Guan, 2024)	Guan, L. (2024). Interface Design of Automobile Head-up Display from the Perspective of Human-Machine Interaction. In *Proceedings of the 3rd International Conference on Art Design and Digital Technology, ADDT 2024, May 24–26, 2024, Luoyang, China*. EAI. https://doi.org/10.4108/eai.24-5-2024.2350098	背景（时间专题）
36	Physiological Signals as Predictors of Cognitive Load Induced by the Type of Automotive Head-Up Disp	运动型驾驶模拟器（motion-based driving simulator）中体验两类信息复杂度不同的 HUD：baseline HUD vs. AR-HUD	未报告	HUD 视野内（abstract 关注 HUD 类型整体复杂度，未给出具体位置参数）	未报告（关注 HUD 类型作为整体变量，而非单图形几何）	未报告	未报告	未报告	无分级（仅两类 HUD 复杂度对比：baseline vs. AR-HUD）	运动型驾驶模拟器中驾驶任务，用于评估认知负荷预测模型	HUD 类型（baseline HUD vs. AR-HUD），即视觉信息复杂度	生理信号：HRV（心率变异）、EDA（皮电）、skin temperature（皮温）、pupil dilation（瞳孔扩张）；以及基于这些信号训练的 LightGBM/HGBC/XGBoost 分类器对 HUD 类型的预测性能（AUC ROC）	HRV+EDA+瞳孔/皮温（基本统计特征）融合的分类器：平均 AUC ROC 0.76，最高 LGBM=0.96、XGB=0.96、HGBC=0.98；证明生理信号可有效区分 HUD 类型诱发的认知负荷，为实时自适应 HUD 提供基础	Gregor Strle, Andrej Košir, Jaka Sodnik	Gregor Strle	2023	IEEE Access 2023	Q2 (IF 4.2)	全文	强	(Strle et al., 2023)	Strle, G., Košir, A., Sodnik, J., & Pečečnik, K. S. (2023). Physiological Signals as Predictors of Cognitive Load Induced by the Type of Automotive Head-Up Display. *IEEE Access*, *11*, 87835–87848. https://doi.org/10.1109/access.2023.3305383	背景（时间专题）
37	End-to-End Pedestrian Collision Warning System based on CNN Semantic Segmentation	工程算法：端到端 PCW (CNN+语义分割)；输入图像 512×256；HoG baseline 危险 ROI = (128,0)–(383,255)	N/A 工程算法	N/A 工程算法	N/A 工程算法	N/A 工程算法	基于 ROI 内是否检测到行人触发	N/A 工程算法（持续触发）	二级输出（无警告 / 警告）	训练 CNN 对图像进行 PCW 二分类 + 语义分割多任务	模型变体（HoG baseline / CNN / CNN+SemSeg）	TPR @ 15% FPR 检测率	HoG 45% → CNN 无语义分割 63.94% → CNN+语义分割 71%（@15% FPR）；λ=10⁻³，FC3 (2,048 维) vs FC4 (131,072)；Cityscapes 2,975 训 + 1,525 验	-	-	-	arXiv 1612.06558	预印本 (IF -) (未经同行评审)	全文	强	(Jung et al., 2018)	Jung, H., Choi, M. K., Soon, K., & Jung, W. Y. (2018). End-to-end pedestrian collision warning system based on a convolutional neural network with semantic segmentation. In *2018 IEEE International Conference on Consumer Electronics (ICCE)* (pp. 1–3). IEEE. https://doi.org/10.1109/icce.2018.8326129	背景（技术/综述，未直接引用）
38	Real-Time Predictive Pedestrian Collision Warning Service for Cooperative ITS	C-ITS 协同智能交通系统；行人 3D pose + 朝向 + 群体边界 → 实时预测过街意图	N/A 工程算法	N/A 工程算法	N/A 工程算法	动态预测：30 FPS 图像采样 (0.033 s/帧)，特征采样 15 帧/s	提前 1.5 秒预测过街意图（GRU + 状态 + 0.5s 上下文 + 1.5s 未来）	实时持续（FPS：朝向 100.53 / 意图 35.76）	无分级（连续概率输出）	训练评估行人朝向识别 + 过街意图预测；多模型对比	模型架构（含/不含 SMPL/VIBE/3D pose）；TUD 与自建 PCNC 数据集	朝向准确率（@45°）；意图识别准确率	朝向识别 89.3% (TUD)，意图预测 91.28% (PCNC)；FPS：朝向 100.53 / 意图 35.76；群体边界圆直径 5m；速度窗口 Δt ≥ 0.5s；物体高度知识库（人 1.7m / cyclist 1.5m / car 1.5m / bus 2.5m / truck 3m）；引言引用：制动提前 0.16 s 可降事故严重度至 50%	-	-	-	arXiv 2009.10868	预印本 (IF -) (未经同行评审)	全文	强	(Kim et al., 2022)	Kim, U. H., Ka, D., Yeo, H., & Kim, J. H. (2022). *A Real-Time Predictive Pedestrian Collision Warning Service for Cooperative Intelligent Transportation Systems* [Preprint]. arXiv. https://arxiv.org/abs/2009.10868	实验1
39	Influence of Pedestrian Collision Warning Systems on Driver Behavior - Simulator Study	Pratt St 巴尔的摩共享路（14ft 共享道 + 3×12ft 车道，LOS B），驾驶模拟器 30 mph (~48 km/h)	未明确（聚焦行为分析）	未明确（聚焦行为分析）	未明确（聚焦行为分析）	未明确	行人在前方 ~40 米处出现（无显式 TTC 阈值）	未报告	无分级	驾驶模拟器中对突发横穿行人做出反应（PCW 警示 vs Baseline 对比）	PCW 警示开关（PCW vs Baseline）	SRT（速度降低时间）；感知反应时；最大减速度；最大制动强度；Jerk；事故率	SRT: PCW 3.14s vs baseline 2.53s (+0.61s, p≤0.05)；感知反应时: 0.29s vs 0.36s；最大减速度: -2.603 vs -2.281 m/s²（@12m vs @13.5m）；最大制动强度: 0.56 vs 0.47；Jerk 阈值舒适 ±1 / 可接受 ±2 m/s³（baseline 峰值 +7.6 @ 2.8s）；3s 时生存概率 PCW 43% vs baseline 21%；AFT 模型 PCW odds=1.077 (+7.7%)，男性 odds=1.522 (+52.2%)	-	-	-	arXiv 2112.09074	预印本 (IF -) (未经同行评审)	全文	强	(Banerjee et al., 2023)	Banerjee, S., Jeihani, M., Khadem, N. K., & Kabir, M. M. (2023). Influence of Pedestrian Collision Warning Systems on Driver Behavior—A Driving Simulator Study. In *International Conference on Transportation and Development 2023* (pp. 299–314). American Society of Civil Engineers. https://doi.org/10.1061/9780784484876.027	实验1、实验2、实验4
